-5	-87	-12
-9	-98	-11
-35	-60	-17
-25	-57	-10
-37	-80	-16
-23	-73	-10
-19	-86	-15
-25	-97	-12
-43	-85	-5
-45	-75	5
-25	-96	5
-10	-102	6
-34	-88	9
-18	-93	21
-26	-82	22
-8	-61	3
-5	-74	5
-5	-91	1
-16	-68	7
-6	-78	11
-23	-48	-6
-13	-61	-5
-7	-75	-6
-15	-47	-3
-20	-58	4
-6	-95	17
-3	-84	25
-11	-72	21
-16	-89	34
-12	-81	36
-49	-26	49
-49	-17	54
-43	-12	51
-7	-14	49
-47	-30	59
-39	-24	53
-8	-39	56
-36	-20	64
-4	-26	58
-30	-46	63
-5	-8	63
-32	-29	62
-26	-11	66
-29	-38	66
-9	-43	70
-19	-24	67
-20	-31	68
-15	-13	73
-20	-38	72
-3	-33	69
-7	-17	74
-12	-27	73
-10	-34	76
-60	-4	18
-63	-11	30
-58	-1	31
-54	-9	28
-50	-15	39
-51	-7	43
-39	-19	42
-38	-13	16
-36	-27	19
-51	-13	13
-60	-2	12
-49	-24	18
-62	-18	20
-35	-24	11
-53	-1	-3
-57	-16	6
-43	-19	4
-61	-27	10
-44	-28	9
-58	-37	16
-41	-36	15
-45	-44	-21
-49	-57	-14
-45	-70	-8
-49	-66	13
-42	-81	17
-32	-84	26
-26	-71	31
-21	-82	44
-22	-66	48
-17	-73	53
-35	-49	52
-34	-56	62
-27	-64	61
-12	-67	61
-55	-63	2
-61	-23	33
-54	-21	41
-55	-31	44
-43	-32	43
-38	-39	53
-7	-58	64
-20	-58	66
-16	-50	70
-39	-3	51
-25	-7	52
-20	-4	64
-47	-37	24
-60	-29	22
-57	-42	29
-62	-36	36
-39	1	13
-50	1	5
-51	8	15
-39	2	-5
-40	-14	-2
-38	-5	8
-33	18	8
-10	-32	40
-11	-20	40
-13	-42	49
-11	-31	47
-6	-49	57
-6	16	36
-6	-1	40
-6	3	50
-4	3	60
-13	-1	72
-59	-43	44
-38	46	17
-29	43	30
-35	32	39
-33	17	-8
-32	24	0
-44	12	2
-3	26	19
-3	14	26
-7	31	27
-5	15	51
-12	25	-21
-24	23	-20
-6	45	-23
-17	48	-19
-4	22	-19
-15	65	-8
-31	0	-43
-46	-5	-41
-26	-7	-34
-39	-16	-31
-27	10	-33
-52	-24	-30
-21	-15	-29
-37	-36	-23
-38	9	-24
-45	6	-15
-60	-51	-9
-29	-76	41
-27	-67	42
-51	-39	48
-35	-63	49
-43	-44	48
-34	-50	40
-37	-39	41
-29	-58	50
-30	2	59
-22	8	56
-45	20	25
-43	36	28
-54	7	27
-39	7	28
-46	3	37
-45	35	13
-3	0	31
-60	-36	-18
-53	-50	46
-43	-53	50
-28	16	53
-20	11	66
-45	18	35
-31	51	-13
-28	58	-1
-41	50	-1
-30	56	11
-4	29	46
-11	-69	30
-9	-76	42
-4	-72	52
-5	-61	51
-6	-40	25
-5	-23	29
-43	-69	22
-47	-66	31
-41	-72	44
-49	-60	44
-20	41	42
-25	28	44
-21	25	52
-6	-47	13
-4	-54	20
-5	-59	30
-7	-44	32
-3	-33	37
-2	-16	37
-3	-66	40
-7	-50	43
-5	55	-10
-6	35	-9
-6	45	4
-6	60	7
-17	66	9
-3	35	12
-7	46	19
-43	14	-34
-54	0	-29
-61	-17	-23
-59	-11	-13
-63	-34	-4
-51	-28	-4
-47	-56	24
-59	-53	31
-5	60	23
-22	54	25
-14	57	32
-3	45	40
-13	41	50
-11	26	60
-6	12	65
-39	19	50
-42	7	48
-29	17	-17
-34	37	-12
-38	24	-14
-45	37	-15
-43	28	-5
-49	39	-3
-47	26	2
-54	19	12
-39	-81	32
-11	-46	3
-10	-53	8
-10	-59	17
-17	-64	21
-32	-24	-26
-20	-25	-22
-29	-37	-15
-19	-35	-14
-15	-38	-10
-52	9	-18
-53	-4	-11
-60	-17	-2
-62	-51	5
-61	-32	4
-52	-42	4
-54	-56	14
-61	-44	11
-50	-49	15
-61	-48	21
-28.000000 -18.000000 -3.500000 
-29.575446 -9.401920 2.384774 
-28.000000 -17.500000 -3.500000 
-25.303693 1.140914 4.779397 
-11.796920 10.670837 -8.340712 
-19.604200 3.411632 4.647173 
-15.384274 10.752378 1.370323 
