11	-97	0
35	-48	-19
37	-72	-15
27	-53	-9
23	-74	-11
20	-88	-12
44	-80	-14
6	-85	-9
49	-67	-4
25	-97	-11
41	-86	-5
26	-97	6
35	-86	4
44	-78	11
13	-94	18
30	-88	17
23	-86	30
3	-69	6
7	-84	5
23	-59	6
11	-70	10
18	-36	-12
14	-58	-5
9	-72	-5
14	-56	2
17	-43	-3
16	-67	20
5	-81	26
15	-80	37
55	-17	41
11	-15	42
52	-13	51
45	-10	50
50	-25	55
7	-4	51
41	-21	50
7	-18	51
43	-26	64
37	-20	64
32	-34	64
32	-26	55
30	-41	65
9	-40	60
4	-24	61
24	-28	67
22	-24	67
18	-5	69
6	-40	68
22	-34	71
21	-14	72
9	-15	74
5	-29	73
12	-37	77
14	-26	73
14	-32	73
61	-3	24
64	-11	29
53	-10	36
53	-5	37
41	-16	41
38	-9	11
35	-21	15
42	-12	17
41	-29	18
57	1	9
56	-11	14
49	-20	18
63	-1	13
39	-20	4
53	2	-5
53	-14	6
60	-24	11
48	-45	-19
51	-58	-14
49	-64	8
48	-59	19
36	-79	25
30	-68	33
27	-79	44
24	-66	51
34	-56	52
12	-72	54
36	-48	59
26	-58	60
18	-67	64
59	-55	-3
59	-16	32
57	-24	46
47	-25	41
41	-33	45
41	-39	49
35	-33	50
37	-40	58
9	-58	63
26	-52	69
11	-46	66
19	-46	72
40	-3	52
28	-4	51
30	-10	64
25	-2	63
57	8	31
62	-31	22
50	-28	25
61	-21	22
63	-26	37
54	1	45
49	5	3
53	11	12
60	9	18
39	5	-12
40	7	0
40	-10	-3
38	4	11
10	-29	41
12	-38	45
14	-27	44
9	-44	53
10	-34	52
4	-16	37
7	8	41
6	13	54
7	-2	66
64	-39	26
60	-40	36
61	-33	46
15	7	70
27	53	20
37	45	25
22	55	30
29	44	33
49	42	1
34	21	-8
34	25	3
42	17	6
55	20	9
8	36	24
8	25	32
4	12	63
5	20	24
20	14	-22
12	25	-21
23	32	-18
10	48	-22
4	24	-22
4	27	-12
9	63	-14
38	-1	-44
24	7	-37
28	-6	-35
40	-15	-31
38	19	-36
53	-17	-33
31	14	-30
45	-31	-23
44	10	-18
34	-70	44
51	-35	51
45	-43	44
34	-46	45
25	9	52
52	31	15
42	45	12
49	18	22
47	30	26
45	8	25
39	13	33
46	4	38
5	3	30
59	-33	-23
65	-24	-16
64	-42	-10
57	-51	33
49	-60	45
55	-41	48
53	-50	49
41	-56	48
40	33	38
45	19	43
31	31	39
44	6	50
35	14	57
23	14	62
27	50	-15
35	37	-13
22	63	-6
42	51	-6
30	57	6
5	33	44
5	25	53
16	-64	29
14	-73	42
8	-49	43
6	-62	43
4	-70	49
6	-54	54
7	-41	24
6	-26	28
6	-12	30
60	-5	-16
53	-50	21
49	-60	31
43	-71	43
22	40	37
25	26	46
22	35	52
7	-48	13
6	-50	24
4	-62	26
5	-33	35
10	-43	36
8	-54	33
5	-67	34
5	45	-13
6	35	-6
8	53	-4
12	67	6
8	42	5
7	56	11
6	30	14
63	-24	-7
62	-37	0
49	9	-34
58	-8	-27
16	64	20
5	52	30
14	52	40
9	38	54
12	21	62
34	23	-18
47	31	-10
50	29	1
47	-71	25
14	-47	4
14	-56	17
33	-26	-25
22	-19	-26
29	-34	-15
50	15	-21
53	-2	-13
50	-18	-8
62	-11	-3
50	-32	1
63	-23	1
61	-45	5
56	-55	11
52	-40	12
56	-47	14
65	-35	11
54	-43	25
27.666667 -11.166667 -6.666667 
30.072269 -6.438655 0.944538 
31.849462 -14.741935 -4.838710 
25.670866 3.027165 3.237795 
12.357143 12.566398 -7.741449 
18.865400 6.675712 5.112890 
12.246128 15.330199 1.586283 
